MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41,6.98413,1.02381,322,2.55556,37.88,-122.23,4.526
8.3014,21,6.23814,0.97188,2401,2.10984,37.86,-122.22,3.585
7.2574,52,8.28814,1.07345,496,2.80226,37.85,-122.24,3.521
5.6431,52,5.81735,1.07306,558,2.54795,37.85,-122.25,3.413
3.8462,52,6.28185,1.08108,565,2.18147,37.85,-122.25,3.422
4.0368,52,4.76166,1.10363,413,2.1399,37.85,-122.25,2.697
3.6591,52,4.93191,0.951362,1094,2.1284,37.84,-122.25,2.992
3.12,52,4.79753,1.06182,1157,1.78825,37.84,-122.25,2.414
2.0804,42,4.29412,1.11765,1206,2.02689,37.84,-122.26,2.267
3.6912,52,4.97059,0.990196,1551,2.17227,37.84,-122.25,2.611
3.2031,52,5.47761,1.0796,910,2.26368,37.85,-122.26,2.815
3.2705,52,4.77248,1.02452,1504,2.04905,37.85,-122.26,2.418
3.075,52,5.32265,1.01282,1098,2.34615,37.85,-122.26,2.135
2.6736,52,4,1.0977,345,1.98276,37.84,-122.26,1.913
1.9167,52,4.2629,1.00968,1212,1.95484,37.85,-122.26,1.592
2.125,50,4.24242,1.07197,697,2.64015,37.85,-122.26,1.4
2.775,52,5.93958,1.04834,793,2.39577,37.85,-122.27,1.525
2.1202,52,4.05281,0.966997,648,2.13861,37.85,-122.27,1.555
1.9911,50,5.34368,1.08592,990,2.36277,37.84,-122.26,1.587
2.6033,52,5.46545,1.08364,690,2.50909,37.84,-122.27,1.629
1.3578,40,4.5241,1.10843,409,2.46386,37.85,-122.27,1.475
1.7135,42,4.47814,1.00273,929,2.53825,37.85,-122.27,1.598
1.725,52,5.09623,1.1318,1015,2.12343,37.84,-122.27,1.139
2.1806,52,5.19385,1.03692,853,2.62462,37.84,-122.27,0.997
2.6,52,5.27014,1.03555,1006,2.38389,37.84,-122.27,1.326
2.4038,41,4.4958,1.03361,317,2.66387,37.85,-122.28,1.075
2.4597,49,4.72803,1.02092,607,2.53975,37.85,-122.28,0.938
1.808,52,4.78086,1.06045,1102,2.77582,37.85,-122.28,1.055
1.6424,50,4.40169,1.04017,1131,2.39112,37.84,-122.28,1.089
1.6875,52,4.70323,1.03226,395,2.54839,37.84,-122.28,1.32
1.9274,49,5.06878,1.18254,863,2.28307,37.84,-122.28,1.223
1.9615,52,4.88209,1.0907,1168,2.64853,37.84,-122.28,1.152
1.7969,48,5.73731,1.2209,1026,3.06269,37.84,-122.27,1.104
1.375,49,5.0304,1.11246,754,2.29179,37.83,-122.27,1.049
2.7303,51,4.97201,1.0709,1258,2.34701,37.83,-122.27,1.097
1.4861,49,4.60227,1.06818,570,2.15909,37.83,-122.27,0.972
1.0972,48,4.80749,1.15508,987,2.63904,37.83,-122.27,1.045
1.4103,52,3.74938,0.967742,901,2.23573,37.83,-122.28,1.039
3.48,52,4.75728,1.06796,689,2.22977,37.83,-122.26,1.914
2.5898,52,3.49425,1.0273,1377,1.97845,37.83,-122.26,1.76
2.0978,52,4.21519,1.06076,946,2.39494,37.83,-122.26,1.554
1.2852,51,3.75904,1.249,517,2.07631,37.83,-122.26,1.5
1.025,49,3.77249,1.06878,462,2.44444,37.84,-122.26,1.188
3.9643,52,4.79798,1.0202,467,2.35859,37.84,-122.26,1.888
3.0125,52,4.94178,1.06507,660,2.26027,37.83,-122.26,1.844
2.6768,52,4.33508,1.09948,718,1.87958,37.83,-122.26,1.823
2.026,50,3.70066,1.05921,616,2.02632,37.83,-122.26,1.425
1.7348,43,3.98024,1.2332,558,2.20553,37.82,-122.27,1.375
0.9506,40,3.9,1.21875,423,2.64375,37.82,-122.26,1.875
1.775,40,2.6875,1.06534,700,1.98864,37.82,-122.27,1.125
0.9218,21,2.04566,1.03425,735,1.67808,37.82,-122.27,1.719
1.5045,43,4.58968,1.12039,1061,2.60688,37.82,-122.27,0.938
