linha,parte
0,treino
1,validacao
2,treino
3,validacao
4,teste
5,treino
6,validacao
7,teste
8,validacao
9,treino
10,treino
11,treino
12,treino
13,treino
14,teste
15,treino
16,treino
17,teste
18,treino
19,treino
20,treino
21,treino
22,validacao
23,teste
24,treino
25,treino
26,treino
27,treino
28,treino
29,treino
30,treino
31,treino
32,validacao
33,treino
34,treino
35,treino
36,treino
37,teste
38,treino
39,treino
40,treino
41,treino
42,treino
43,treino
44,teste
45,treino
46,teste
47,teste
48,treino
49,treino
50,treino
51,treino
52,treino
53,treino
54,teste
55,teste
56,teste
57,treino
58,treino
59,treino
60,treino
61,treino
62,treino
63,treino
64,treino
65,teste
66,teste
67,treino
68,treino
69,treino
70,treino
71,treino
72,treino
73,validacao
74,validacao
75,teste
76,validacao
77,teste
78,validacao
79,treino
80,treino
81,teste
82,validacao
83,treino
84,treino
85,treino
86,treino
87,validacao
88,treino
89,teste
90,treino
91,validacao
92,validacao
93,treino
94,treino
95,validacao
96,treino
97,teste
98,teste
99,treino
100,validacao
101,treino
102,treino
103,treino
104,treino
105,treino
106,treino
107,treino
108,treino
109,treino
110,teste
111,teste
112,treino
113,treino
114,teste
115,teste
116,teste
117,treino
118,treino
119,treino
120,teste
121,treino
122,treino
123,treino
124,treino
125,validacao
126,treino
127,treino
128,treino
129,treino
130,treino
131,treino
132,treino
133,treino
134,treino
135,teste
136,treino
137,treino
138,validacao
139,validacao
140,validacao
141,teste
142,treino
143,treino
144,treino
145,treino
146,treino
147,treino
148,validacao
149,treino
150,treino
151,treino
152,validacao
153,treino
154,teste
155,treino
156,teste
157,treino
158,treino
159,validacao
160,teste
161,teste
162,treino
163,treino
164,teste
165,validacao
166,treino
167,treino
168,treino
169,teste
170,validacao
171,treino
172,treino
173,treino
174,validacao
175,treino
176,treino
177,treino
178,treino
179,treino
180,validacao
181,treino
182,teste
183,treino
184,validacao
185,validacao
186,teste
187,teste
188,validacao
189,treino
190,treino
191,treino
192,teste
193,validacao
194,teste
195,treino
196,validacao
197,treino
198,treino
199,validacao
200,teste
201,treino
202,treino
203,treino
204,treino
205,treino
206,treino
207,treino
208,treino
209,treino
210,treino
211,treino
212,treino
213,treino
214,treino
215,validacao
216,treino
217,validacao
218,treino
219,teste
220,treino
221,treino
222,treino
223,treino
224,teste
225,treino
226,treino
227,teste
228,validacao
229,validacao
230,validacao
231,treino
232,validacao
233,treino
234,treino
235,validacao
236,treino
237,validacao
238,teste
239,teste
240,treino
241,teste
242,validacao
243,teste
244,treino
245,treino
246,teste
247,treino
248,treino
249,treino
250,teste
251,treino
252,treino
253,validacao
254,teste
255,teste
256,treino
257,validacao
258,validacao
259,treino
260,treino
261,treino
262,validacao
263,validacao
264,treino
265,teste
266,treino
267,teste
268,treino
269,treino
270,treino
271,teste
272,validacao
273,treino
274,teste
275,treino
276,teste
277,validacao
278,teste
279,treino
280,treino
281,treino
282,treino
283,treino
284,treino
285,teste
286,treino
287,treino
288,validacao
289,treino
290,teste
291,validacao
292,validacao
293,treino
294,treino
295,teste
296,treino
297,teste
298,treino
299,treino
300,teste
301,teste
302,treino
303,treino
304,treino
305,teste
306,treino
307,validacao
308,validacao
309,treino
310,teste
311,validacao
312,treino
313,treino
314,treino
315,treino
316,teste
317,treino
318,treino
319,validacao
320,treino
321,treino
322,teste
323,treino
324,treino
325,treino
326,validacao
327,treino
328,treino
329,treino
330,validacao
331,validacao
332,validacao
333,treino
334,treino
335,teste
336,treino
337,treino
338,treino
339,teste
340,treino
341,treino
342,treino
343,validacao
344,treino
345,treino
346,treino
347,treino
348,teste
349,treino
350,treino
351,treino
352,treino
353,validacao
354,treino
355,teste
356,teste
357,treino
358,treino
359,treino
360,treino
361,treino
362,teste
363,treino
364,treino
365,treino
366,validacao
367,treino
368,treino
369,teste
370,validacao
371,treino
372,teste
373,treino
374,teste
375,treino
376,treino
377,treino
378,teste
379,treino
380,teste
381,treino
382,treino
383,teste
384,validacao
385,treino
386,teste
387,treino
388,validacao
389,treino
390,teste
391,validacao
392,treino
393,treino
394,treino
395,treino
396,validacao
397,treino
398,treino
399,treino
400,validacao
401,validacao
402,treino
403,teste
404,treino
405,treino
406,treino
407,treino
408,teste
409,treino
410,treino
411,treino
412,treino
413,teste
414,treino
415,treino
416,treino
417,treino
418,treino
419,treino
420,treino
421,teste
422,treino
423,treino
424,treino
425,validacao
426,treino
427,treino
428,treino
429,treino
430,validacao
431,treino
432,validacao
433,teste
434,validacao
435,treino
436,teste
437,treino
438,validacao
439,teste
440,treino
441,treino
442,teste
443,treino
444,treino
445,treino
446,treino
447,treino
448,treino
449,validacao
450,teste
451,teste
452,treino
453,treino
454,treino
455,treino
456,treino
457,treino
458,treino
